lr=0.002, embed_dim=8, mlp_hidden_dim=64
        epoch=0, train_loss=3.50, val_loss=3.52, val_corr=0.1069, no_imp=0, save=1
        epoch=1, train_loss=3.51, val_loss=3.51, val_corr=0.2002, no_imp=0, save=1
        epoch=2, train_loss=3.51, val_loss=3.51, val_corr=0.2474, no_imp=0, save=1
        epoch=3, train_loss=3.51, val_loss=3.51, val_corr=0.2291, no_imp=1, save=0
        epoch=4, train_loss=3.51, val_loss=3.51, val_corr=0.2224, no_imp=2, save=0
        epoch=5, train_loss=3.51, val_loss=3.51, val_corr=0.2289, no_imp=3, save=0
        epoch=6, train_loss=3.51, val_loss=3.51, val_corr=0.2508, no_imp=4, save=0
        epoch=7, train_loss=3.51, val_loss=3.51, val_corr=0.2472, no_imp=5, save=0
        epoch=8, train_loss=3.51, val_loss=3.51, val_corr=0.1739, no_imp=0, save=1

        embed_dim=16
            epoch=0, train_loss=3.43, val_loss=3.49, val_corr=0.0963, no_imp=0, save=1
            epoch=1, train_loss=3.50, val_loss=3.51, val_corr=0.1949, no_imp=1, save=0
            epoch=2, train_loss=3.51, val_loss=3.51, val_corr=0.2464, no_imp=2, save=0
            epoch=3, train_loss=3.51, val_loss=3.51, val_corr=0.1979, no_imp=3, save=0
            epoch=4, train_loss=3.51, val_loss=3.51, val_corr=0.1924, no_imp=4, save=0
            epoch=5, train_loss=3.51, val_loss=3.51, val_corr=0.2156, no_imp=5, save=0
            epoch=6, train_loss=3.51, val_loss=3.51, val_corr=0.2168, no_imp=6, save=0
